Status	Deck	Category	Type	Text	Length
Draft	Alex	Hollywood	Answer	Fake kidnapping.	16
Draft	Alex	Hollywood	Answer	A magic negro.	14
Draft	Alex	Hollywood	Answer	Ladyboy wizards.	16
Draft	Alex	Hollywood	Answer	Racist Transformers.	20
Draft	Alex	Hollywood	Answer	White terrorists.	17
Draft	Alex	Hollywood	Answer	A face-hugger tampon.	21
Draft	Alex	Hollywood	Answer	Movie sex with your bra on.	27
Draft	Alex	Hollywood	Answer	A Disney starlet.	17
Draft	Alex	Hollywood	Answer	A gay sidekick.	15
Draft	Alex	Hollywood	Answer	A butt double.	14
Draft	Alex	Hollywood	Answer	Zombies 2: Revenge of the Vampires.	35
Draft	Alex	Hollywood	Answer	A Wet Dream Sequence.	21
Draft	Alex	Hollywood	Answer	Pubic Dandruff.	15
Draft	Alex	Hollywood	Answer	Hoarders: Buried Alive.	23
Draft	Alex	Hollywood	Answer	Gaining weight for a role.	26
Draft	Alex	Academia	Answer	Feminism.	9
Draft	Alex	Academia	Answer	The Invisible Hand.	19
Draft	Alex	Academia	Answer	Racial diversity.	17
Draft	Alex	Academia	Answer	Mace.	5
Draft	Alex	Academia	Answer	Cliff notes.	12
Draft	Alex	Academia	Answer	Poems that don’t rhyme.	23
Draft	Alex	Academia	Answer	Fetishized Blackness.	21
Draft	Alex	Academia	Answer	The Other.	10
Draft	Alex	Academia	Answer	The nutty professor.	20
Draft	Alex	Academia	Answer	LGBTQrstuv…	11
Draft	Alex	Ghetto	Answer	Crystal Meth Dentist.	21
Draft	Alex	Ghetto	Answer	Racist street signals.	22
Draft	Alex	Ghetto	Answer	Chocolate City.	15
Draft	Alex	Ghetto	Answer	Skeet blanket.	14
Draft	Alex	Ghetto	Answer	Food stamp sperm bank.	22
Draft	Alex	Ghetto	Answer	Rice and beans.	15
Draft	Alex	Religious	Answer	Open casket funerals.	21
Draft	Alex	Religious	Answer	Lent.	5
Draft	Alex	Religious	Answer	Jews.	5
Draft	Alex	Religious	Answer	Being late for church.	22
Draft	Alex	Religious	Answer	The Catholic Church.	20
Draft	Alex	Religious	Answer	Depicting Muhammed. 	20
Draft	Alex	Religious	Answer	Sex abuse allegations.	22
Draft	Alex	Religious	Answer	A born-again virgin.	20
Draft	Alex	Religious	Answer	Jews Jews Jews.	15
Draft	Alex	Religious	Answer	A Jew-spider.	13
Draft	Alex	Religious	Answer	A shitty reincarnation.	23
Draft	Alex	Politics	Answer	George Washington.	18
Draft	Alex	Politics	Answer	Weed farming.	13
Draft	Alex	Politics	Answer	Affirmative action.	19
Draft	Alex	Politics	Answer	A predator drone.	17
Draft	Alex	Politics	Answer	Communicating your message to minorities.	41
Draft	Alex	Politics	Answer	Rich White People.	18
Draft	Alex	Politics	Answer	Closet Republicans.	19
Draft	Alex	Politics	Answer	8 billion dollar abortionplex.	30
Draft	Alex	Politics	Answer	The National Spider menace.	27
Draft	Alex	Politics	Answer	9-11.	5
Draft	Alex	Politics	Answer	JIHAD!	6
Draft	Alex	Politics	Answer	Reparations.	12
Draft	Alex	Politics	Answer	A North Korean Karaoke Video.	29
Draft	Alex	Politics	Answer	International Woman’s Day.	26
Draft	Alex	Politics	Answer	An ethnically diverse group of women.  	39
Draft	Alex	Memes	Answer	A winking emoticon.	19
Draft	Alex	Memes	Answer	An erection emoticon.	21
Draft	Alex	Memes	Answer	An online stalker.	18
Draft	Alex	Memes	Answer	AOL Chatrooms.	14
Draft	Alex	Memes	Answer	iPhone Grease Wipes.	20
Draft	Alex	Memes	Answer	A Shazam for Farts.	19
Draft	Alex	Memes	Answer	Hitler on Twitter.	18
Draft	Alex	Tragic	Answer	An abusive husband.	19
Draft	Alex	Tragic	Answer	Genocide.	9
Draft	Alex	Tragic	Answer	A congenital birth defect.	26
Draft	Alex	Tragic	Answer	Campus shooting.	16
Draft	Alex	Tragic	Answer	An HIV Baby.	12
Draft	Alex	Tragic	Answer	A sad toll-booth worker.	24
Draft	Alex	Ironic	Answer	German baguettes.	17
Draft	Alex	Ironic	Answer	Bad plastic surgery.	20
Draft	Alex	Ironic	Answer	Old people with tattoos.	24
Draft	Alex	Ironic	Answer	A glass of wine alone.	22
Draft	Alex	Ironic	Answer	Horny Angels.	13
Draft	Alex	Ironic	Answer	Reformed Cannibals.	19
Draft	Alex	Cutesy	Answer	A baby name book.	17
Draft	Alex	Cutesy	Answer	The world’s smallest violin.	28
Draft	Alex	School	Answer	A kid on another kid’s shoulders.	33
Draft	Alex	School	Answer	Deaf acapella group.	20
Draft	Alex	School	Answer	A walk of shame.	16
Draft	Alex	Random	Answer	Raw donkey meat.	16
Draft	Alex	Random	Answer	A dog sweater.	14
Draft	Alex	Random	Answer	Killer ants.	12
Draft	Alex	Random	Answer	Melting clocks.	15
Draft	Alex	Random	Answer	Trace amounts of rat feces.	27
Draft	Alex	Sexual	Question	What ELSE was on a child pornographer’s harddrive?	50
Draft	Alex	Sexual	Question	What did I just try for the first time in bed?	46
Draft	Alex	Sexual	Question	How do I know things are getting serious with my girlfriend?	60
Draft	Alex	Sexual	Question	_____ is a nickname for a Vagina in Africa.	43
Draft	Alex	Sexual	Question	“The Polish Pox”, “the clap” and _____ are all euphemisms for STDs.	67
Draft	Alex	Sexual	Question	What did I see on the German Porn Set?	38
Draft	Alex	Sexual	Question	What did they used to call herpes?	34
Draft	Alex	Sexual	Question	What did I get for Valentine’s day?	35
Draft	Alex	Sexual	Question	Is that ______ in your pocket or are you just happy to see me?	62
Draft	Alex	Sexual	Question	Her eyes were the color of _____.	33
Draft	Alex	Sexual	Question	What do woman want?	19
Draft	Alex	Sexual	Question	Why am I afraid of commitment?	30
Draft	Alex	Sexual	Question	What’s the secret to a woman’s orgasm?	38
Draft	Alex	Sexual	Question	What did I put on the doorknob while I was having sex?	54
Draft	Alex	Sexual	Question	What do you call a guy who sleeps with a ton of people?	55
Draft	Alex	Sexual	Question	How do you get a guy to notice you while you’re having sex with him?	68
Draft	Alex	Sexual	Question	What is your favorite sex position?	35
Draft	Alex	Sexual	Question	I did a few _____ to make ends meet.	36
Draft	Alex	Sexual	Question	What did I hear the neighbors doing upstairs?	45
Draft	Alex	Sexual	Question	What should I get if I have an erection lasting more than 4 hours?	66
Draft	Alex	Sexual	Question	What’s the sexiest part about me?	33
Draft	Alex	Politics	Question	“A Bill for ______” was the longest filibuster in history.	58
Draft	Alex	Politics	Question	______ is an unrealistic ideal for young girls.	47
Draft	Alex	Politics	Question	In addition to slaves, Thomas Jefferson owned _______.	54
Draft	Alex	Politics	Question	Genocide is wrong, but I would still get rid of ______.	55
Draft	Alex	Politics	Question	Text _____ to donate $5 to the Red Cross.	41
Draft	Alex	Politics	Question	The president was impeached for ______-gate.	44
Draft	Alex	Politics	Question	The State of the Union is _____.	32
Draft	Alex	Politics	Question	How will Republicans reach out to women?	40
Draft	Alex	Politics	Question	What’s the new American dream?	30
Draft	Alex	Politics	Question	More than 280 _____ killed by Chinese poachers this year.	57
Draft	Alex	Politics	Question	People for the Ethical Treatment of _____.	42
Draft	Alex	Politics	Question	What’s on my Facebook that will ruin my future run for president?	65
Draft	Alex	Politics	Question	When I’m CEO of Microsoft, what will I throw at the wall when I’m angry?	72
Draft	Alex	Politics	Question	What did the TSA just ban from airplanes?	41
Draft	Alex	Hipster	Question	Two hipsters angrily call each other _____.	43
Draft	Alex	Physical	Question	What’s in my Pinata?	20
Draft	Alex	Physical	Question	What’s the new fad treatment for acne?	38
Draft	Alex	Physical	Question	What did I see in my Rorschach test?	36
Draft	Alex	Pop	Question	What do I have in different area codes?	39
Draft	Alex	Slogans	Question	What’s 99% effective?	21
Draft	Alex	Slogans	Question	What should I put in my Viagra commercial? 	43
Draft	Alex	Folk	Question	A Heartbreaking Work of Staggering ____.	40
Draft	Alex	Folk	Question	_____ a day keeps the doctor away.	34
Draft	Alex	Folk	Question	Love means never having to _____.	33
Draft	Alex	Folk	Question	What is a man’s best friend?	28
Draft	Alex	Folk	Question	What should I never feed my dog?	32
Draft	Alex	Folk	Question	Men are from Mars. Woman are from ______.	41
Draft	Alex	Folk	Question	Pay it forward with random acts of ______.	42
Draft	Alex	Folk	Question	A lady never reveals her ______.	32
Draft	Alex	Folk	Question	Make love not _____.	20
Draft	Alex	Folk	Question	What am I thankful for?	23
Draft	Alex	Folk	Question	You know what they say: big feet, big ______.	45
Draft	Alex	Hollywood	Question	What song played me off at the Oscars?	38
Draft	Alex	Hollywood	Question	What’s the title of the next movie on my Netflix queue?	55
Draft	Alex	Hollywood	Question	_____ is why I want to live in the Matrix.	42
Draft	Alex	Hollywood	Question	What’s Hollywood’s next fad?	28
Draft	Alex	Hollywood	Question	What will kill all the aliens?	30
Draft	Alex	Family	Question	What did I find on my dad’s laptop?	35
Draft	Alex	Family	Question	What was my brother doing in the shower?	40
Draft	Alex	Family	Question	Expect ______ when you’re expecting.	36
Draft	Alex	Family	Question	What should I substitute for my father’s love?	46
Draft	Alex	Childhood	Question	At the sleepover, what did I draw on my friend’s face?	54
Draft	Alex	Childhood	Question	What do I sleep with under my pillow?	37
Draft	Alex	Childhood	Question	What did I learn in SexEd?	26
Draft	Alex	Childhood	Question	How did I learn my 3rd grader teacher is gay?	45
Draft	Alex	Childhood	Question	What was the title of my Health textbook?	41
Draft	Alex	Tech	Question	Why did I leave Facebook?	25
Draft	Alex	Tech	Question	What’s the next great app idea?	31
Draft	Alex	Tech	Question	What’s Japan’s newest fad?	26
Draft	Alex	Religion	Question	What did God give Adam for his rib?	41
Draft	Alex	Religion	Question	What is the last thing I will hear before I die?	25
Draft	Alex	Religion	Question	What’s better than blow jobs and The Bible combined?	31
Draft	Alex	Religion	Question	GOD HATES ____.	26
Draft	Alex	Culture	Question	______ is so ironic!	35
Draft	Alex	Culture	Question	______. Awkward!	48
Draft	Alex	Culture	Question	What did I wait in line all night for?	52
Draft	Alex	Culture	Question	_____ isn’t rocket science. 	15
Draft	Alex	Culture	Question	What’s on my vanity plate?	20
Draft	Alex	Politics	Answer	Pregnant terrorist.	16
Draft	Alex	Family	Answer	Lead pacifier.	38
Draft	Alex	Sexual	Answer	Camel Toe Jeans.	28
Draft	Alex	Sexual	Answer	Openly gay basketball player.	26
Draft	Alex	Sexual	Answer	Statutory rape.	19
Draft	Alex	School	Answer	Corporal punishment.	14
Draft	Alex	School	Question	Why are private schools better?	16
Draft	Alex	Sexual	Question	What is my new pregnancy craving?	29
Draft	Alex	Sexual	Answer	Murder suicide orgasm.	15
Draft	Alex	Lifestyle	Question	What did my therapist just prescribe me?	20
Draft	Alex	Medicine	Answer	Xanax.	31
Draft	Alex	Food	Question	What should they add to Lucky Charms?	33
Draft	Alex	Food	Question	What is the best Happy Meal toy ever?	22
Draft	Alex	Sexual	Answer	Transgendered mixed maritial artist.	40
Draft	Alex	Lifestyle	Question	What do I have nightmares about?	6
Draft	Alex	Sexual	Answer	Zero-g humping.	37
Draft	Alex	Travel	Question	What did I discover in Thailand?	37
Draft	Alex	Space	Answer	Shooting it into the sun.	36
Draft	Alex	Sexual	Question	If "Plan B" is the Morning-after pill, what's "Plan C"?	32
Draft	Alex	Sexual	Answer	Morning-after pill.	15
Draft	Alex	Tech	Question	What should I make with my new 3D printer?	32
Draft	Alex	Politics	Answer	Child soliders.	25
Draft	Alex	Politics	Answer	Mass graves from Ikea.	55
Draft	Alex	Politics	Answer	9-11.	19
Draft	Alex	Sexual	Answer	Aspiring Big Beautiful Woman.	42
Draft	Alex	Religion	Question	Jesus loves _____.	15
Draft	Alex	Tech	Answer	Bang with Friends (tm)	22
Draft	Alex	School	Question	How did I repay my student loans?	5
Draft	Alex	Politics	Answer	Interracial children.	29
Draft	Alex	Sexual	Answer	Selling sexts of my girlfriend on the internet.	18
Draft	Alex	Sexual	Answer	Jerking off at a slumber party.	22
Draft	Alex	Religion	Answer	Feeding a jewish dog ham.	33
Draft	Alex	Sexual	Answer	Collectible condom wrappers.	21
Draft	Alex	Sexual	Answer	Watching Porn at Starbucks.	47
Draft	Alex	Sexual	Answer	"Accidental" buttsex.	31
Draft	Alex	Family	Answer	Hating children.	25
Draft	Alex	Sexual	Answer	Keeping XXX in X-mas.	28
Draft	Alex	Sexual	Answer	Rapist van.	27
Draft	Alex	Family	Answer	Dirty Gene Pool.	21
Draft	Alex	Sexual	Answer	Strategic incest.	16
Draft	Alex	Random	Question	What is only sometimes okay?	21
Draft	Alex	Sexual	Answer	Sex in the common room.	11
Draft	Alex	Sexual	Answer	Violent animated pornography.	16
Draft	Alex	Sexual	Answer	Cumshot baptism.	17
Draft	Alex	Sexual	Answer	Cumshot etiquette.	28
Draft	Alex	Sexual	Answer	Premature ejaculation.	23
Draft	Alex	Sexual	Answer	Airport glory holes.	29
Draft	Alex	Sexual	Question	What did I put through the glory hole?	16
Draft	Alex	Sexual	Answer	Furry asscrack.	18
Draft	Alex	Family	Question	I would marry him if it weren't for ______.	22
Draft	Alex	Sexual	Answer	Goatee rimjob.	20
Draft	Alex	Sexual	Answer	Dom allergic to latex.	38
Draft	Alex	Religion	Question	What was in the goody bags for my bris?	15
Draft	Alex	Sexual	Question	I only orgasm when I'm high or when I use _____.	43
Draft	Alex	Sexual	Answer	Kinky seniors.	14
Draft	Alex	Sexual	Question	A study found that people with selfish sex partners have higher levels of _____.	22
Draft	Alex	Sexual	Question	"Gynandromorphophilia" is a fetish for a woman with ____.	39
Draft	Alex	Sexual	Answer	Fetlife, the Facebook for Fetishists.	48
Draft	Alex	Family	Question	How did I meet my wife?	14
Draft	Alex	Sexual	Answer	FuckedMyProf.tumblr.com	80
Draft	Alex	Sexual	Answer	Vaginoplasty.	57
Draft	Alex	Sexual	Question	How can you tighten a vagina without surgery?	37
Draft	Alex	Sexual	Answer	Estranged stalker.	23
Draft	Alex	Politics	Question	With great power comes great _____.	23
Draft	Alex	Politics	Question	In Ebonics, what does a "shorty" refer to?	13
Draft	Alex	Sexual	Answer	Jizzneyland.	45
Draft	Alex	Sexual	Answer	Adderall induced erection.	18
Draft	Alex	Sexual	Question	What is the female version of cock block?	35
Draft	Alex	Politics	Question	In China, _____ is a folk remedy for gout.	42
Draft	Alex	Politics	Answer	Albino Africans.	12
Draft	Alex	Politics	Answer	Peaceful Muslims.	26
Draft	Alex	Politics	Answer	Generous Jews.	41
Draft	Alex	Politics	Answer	Educated Black People.	42
Draft	Alex	Politics	Answer	Asian Nascar Drivers.	16
Draft	Alex	Politics	Answer	Chill Asians.	17
Draft	Alex	Politics	Answer	Half-Asians.	14
Draft	Alex	Religion	Answer	A small Mormon family.	22
Draft	Alex	Politics	Answer	Skinny Samoans.	21
Draft	Alex	Politics	Answer	British Dentists.	13
Draft	Alex	Politics	Answer	Legal Mexicans.	12
Draft	Alex	Health	Answer	Expensive cancer treatment.	22
Draft	Alex	Politics	Question	What will be World War IV be fought with?	15
Draft	Alex	Culture	Question	Sticks and stones may break my bones, but ______ will never hurt me.	17
Draft	Alex	Tech	Question	I was an early adopter for _____ and it gave me a rash.	15
Draft	Alex	Health	Question	What did I see in my bad acid trip?	27
Draft	Alex	Hollywood	Question	Frankly, my dear, I don't give a ______.	41
Draft	Alex	Hollywood	Question	Resistance is _____.	68
Draft	Alex	Hollywood	Answer	Rosebud.	55
Draft	Alex	Animals	Answer	Vegan dinosaurs.	35
Draft	Alex	Family	Question	What did the drunk skywriter write on my wedding day?	40
Draft	Alex	Politics	Answer	Personal drones.	20
Draft	Alex	Politics	Answer	Evolution.	8
Draft	Alex	Politics	Answer	Reality TV Abortion.	16
Draft	Alex	Tech	Answer	Self-aware roomba.	53
Draft	Alex	Politics	Question	You can pry _____ from my cold, dead hands!	16
Draft	Alex	Sexual	Question	What trick did I learn from a professional pickup artist?	10
Draft	Alex	Sexual	Answer	Friend Zone.	20
Draft	Alex	School	Answer	Young Adult Literature.	18
Draft	Alex	Sexual	Answer	Vanilla Japanese Porn.	43
Draft	Alex	Health	Answer	Roidrage.	57
Draft	Alex	Wealth	Question	This Yacht is 50% off, but it says _____ on the side.	12
Draft	Alex	Health	Answer	Transfat.	23
Draft	Alex	Sexual	Answer	Uranium Powered Dildo.	22
Draft	Alex	Health	Answer	Hand Sanitizer.	9
Draft	Alex	Health	Question	______ kills 99.99% percent of germs.	53
Draft	Alex	Religion	Answer	The Pope-Mobile.	9
Draft	Alex	Sexual	Question	What did they sadomize me with in a Thai prison?	22
Draft	Alex	Hollywood	Answer	A Magic Slipper.	15
Draft	Alex	Politics	Question	I have nothing to offer but blood, toil, tears, and _____.	37
Draft	Alex	Religion	Question	In my next life, I will be reincarnated as ______.	16
Draft	Alex	Religion	Answer	Moral Relativism. 	48
Draft	Alex	Tech	Answer	The Multiverse.	16
Draft	Alex	Hollywood	Question	Spoiler Alert! _____ kills _____ with ______!	58
Draft	Alex	Health	Answer	Pot Brownies.	50
Draft	Alex	Hollywood	Question	The Fast and the Furious 8: _______	18
Draft	Alex	Animals	Answer	Human Hamster Ball.	15
Draft	Alex	Tech	Question	______, ______, and ______ is my recent search history.	45
Draft	Alex	Music	Answer	Ice Ice Baby.	13
Draft	Alex	Politics	Answer	Non-lethal ammunition.	35
Draft	Alex	Politics	Answer	Chemical Weapons Lobbyist.	19
Draft	Alex	Politics	Question	Agent Orange, Zyklone B and _____ are all chemical weapons.	55
Draft	Alex	Politics	Answer	Undecided Voters.	13
Draft	Alex	Politics	Answer	Occupy Soup Kitchen.	22
Draft	Alex	Politics	Answer	The 1%.	26
Draft	Alex	Politics	Answer	A Black President.	59
Draft	Alex	Politics	Answer	Tibet.	17
Draft	Alex	Sexual	Answer	1980s Porn Films.	20
Draft	Alex	Politics	Answer	CIA-produced Torture Porn.	7
Draft	Alex	Sexual	Answer	Live-action Tentacle Porn.	18
Draft	Alex	Politics	Answer	Ronald Raegan's Dementia.	6
Draft	Alex	Politics	Answer	Russians riding bears.	17
Draft	Alex	Politics	Answer	Too big to fail.	26
Draft	Alex	Health	Answer	Sudden Infant Death Syndrome.	26
Draft	Alex	Health	Answer	Perishible Breast Implants.	25
Draft	Alex	Health	Answer	Skymall Hip Replacement.	22
Draft	Alex	Health	Question	What is the current Terror Level?	16
Draft	Alex	Health	Answer	Alzhemier's.	29
Draft	Alex	Politics	Answer	Islamofacists.	27
Draft	Alex	Health	Answer	Flouridated Water.	24
Draft	Alex	Health	Answer	Why does my child have autism?	33
Draft	Alex	Health	Answer	HPV Vaccine.	12
Draft	Alex	Health	Answer	Anal Cancer.	14
Draft	Alex	Politics	Answer	Jet trails.	18
Draft	Alex	Religion	Answer	Black Jesus.	30
Draft	Alex	Religion	Answer	The Antichrist.	12
Draft	Alex	Politics	Answer	The Gay Mafia.	12
Draft	Alex	Politics	Answer	Human Trafficking.	11
Draft	Alex	Hollywood	Question	Who controls Hollywood?	12
Draft	Alex	Politics	Answer	The Bavarian Illuminati.	15
Draft	Alex	Hollywood	Answer	Subliminal Sprite Commericials.	14
Draft	Alex	Health	Answer	Prison Syphilis Experiements.	18
Draft	Alex	Health	Answer	Edible Insects.	23
Draft	Alex	Health	Answer	Watered-down penicillin.	24
Draft	Alex	Health	Answer	Defective malarial net.	31
Draft	Alex	Health	Question	What did my insurance refuse to pay for?	29
Draft	Alex	Health	Question	Why was I quarantined?	15
Draft	Alex	Health	Question	What cured the Zombie apocalypse?	24
Draft	Alex	Hollywood	Answer	Matt Damon.	23
Draft	Alex	School	Answer	Musical Theater.	40
Ignore	Alex			Clenched Sphincter.	22
Ignore	Alex			App Camp for Girls.	33
Ignore	Alex			Millenials.	11
Ignore	Alex			Hockey Mom.	16
Ignore	Alex			Security Mom.	19
Ignore	Alex			Angry White Male.	19
Ignore	Alex			Nascar Dad.	11
Ignore	Alex			Welfare queen.	11
